,id,title,department,location,link,description
0,5380554002,Accountant,Finance,"{'city': 'Tallinn, Estonia'}",https://bolt.eu/en/careers/positions/5380554002,"We are looking for an Accountant with at least 3 years experience to join our HQ team in Tallinn.  Processing purchase invoices, sales reports and bank statements Processing travel and expense reimbursement reports Processing and controlling payroll Tag and monitor fixed assets - i.e. from A-to-Z in one or several of our subsidiaries You’ll be working closely with subsidiaries local bookkeepers and tax consultants as well as helping Senior Accountants with any other relevant tasks  3+ years work experience as an Accountant Higher education in Economics Excellent Estonian and English skills Understanding different aspects of accounting rules and regulations Detail-oriented, but also having generalisation skills ""Can-do"" attitude and ability to prioritise and deliver Strong team player, but also able to work independently Tech-savvy and have an eye for details Knowledge of accounting software Directo is an advantage #LI-Hybrid"
1,5802857002, Account Management Specialist ,Bolt Food,"{'city': 'Warsaw, Poland'}",https://bolt.eu/en/careers/positions/5802857002," Bolt Food is looking for a passionate  Account Management Specialist  to drive our business, developing, managing and growing our partner restaurants in Poland.As an Account Management Specialist , you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition, you also have to be a strong team player and willing to do things outside of the day-to-day work activities - supporting local execution of our global projects or being the Account Manager`s right hand in managing our business priorities.   Your daily adventures will include:    Manage and organize eater-facing campaigns ensuring that all processes are in place at the city level to maximize campaign performance Analyze market specific behaviour to gain insights and support the team in improving customer experience Support the execution of our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Help to re-negotiate restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)    What we are looking for:    1-2 years of experience, preferably in Account Management, Consulting, Business Development Good analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Good project manager skills: capable managing multiple projects, resources, priorities and time Minimum language requirements: Polish and Native or Business level English speaker     #LI-Hybrid"
2,5835763002,Account Management Team Lead,Bolt Food,"{'city': 'Kyiv, Ukraine'}",https://bolt.eu/en/careers/positions/5835763002," Bolt Food is looking for a passionate Account Management Team Lead to lead accounts team and drive our business, developing, managing and growing our partner restaurants in Ukraine, Kyiv. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities     Your daily adventures will include :  Your daily adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Minimum language requirements: Ukrainian & Native or Business level English speaker      #LI-Hybrid"
3,5770201002,Account Management Team Lead,Bolt Food,"{'city': 'Baku, Azerbaijan'}",https://bolt.eu/en/careers/positions/5770201002," Bolt Food is looking for a passionate Account Manager to lead the local team and drive our business, developing, managing and growing our partner restaurants in Azerbaijan. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.   Your daily adventures will include :  Your Daily Adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Minimum language requirements: Azerbaijani & Native or Business level English speaker      #LI-Hybrid"
4,6057289002,Account Management Team Lead,Bolt Food,"{'city': 'Vilnius, Lithuania'}",https://bolt.eu/en/careers/positions/6057289002," Bolt Food Lithuania is looking for a passionate Account Management Team Lead to lead the local team and drive our business, developing, managing and growing our partner restaurants in Lithuania. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.This is a full-time permanent employment opportunity with a negotiable monthly gross salary ranging between: €2600-€3200 gross.   Your daily adventures will include :  Your Daily Adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Minimum language requirements: Lithuanian and Business level English speaker      #LI-Hybrid"
5,6073697002,Account Management Team Lead,Bolt Food,"{'city': 'Valletta, Malta'}",https://bolt.eu/en/careers/positions/6073697002," Bolt Food is looking for a passionate Account Manager to lead the local team and drive our business, developing, managing, and growing our partner restaurants in Malta. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition, you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.   Your daily adventures will include :  Your Daily Adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Fluent in English. Maltese is a huge bonus.       #LI-Hybrid"
6,6017005002,Account Management Team Lead,Bolt Food,"{'city': 'Bratislava, Slovakia'}",https://bolt.eu/en/careers/positions/6017005002," Bolt Food is looking for a passionate Account Management Team Lead to lead the local team and drive our business, developing, managing and growing our partner restaurants in Slovakia. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.This is a full-time permanent employment opportunity with a negotiable monthly salary ranging between: €1827-€2741 gross.   Your daily adventures will include :  Your Daily Adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Minimum language requirements: Slovak and Business level English speaker      #LI-Hybrid"
7,6112788002,Account Management Team Lead (Relocation to Malta),Bolt Food,"{'city': 'Rome, Italy'}",https://bolt.eu/en/careers/positions/6112788002," Bolt Food is looking for a passionate Account Manager to lead the local team and drive our business, developing, managing, and growing our partner restaurants in Malta. As an Account Management Team Lead you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition, you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.   Your daily adventures will include :  Your Daily Adventure will include:   Lead, motivate and coach the Account Management Team to achieve their goals Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)   What we are looking for :  3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles. People manager: experience leading a team to achieve individual and shared goals in a client facing role Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Fluent in English. Maltese is a huge bonus.       #LI-Hybrid"
8,6123007002,Account Manager,Bolt Business,"{'city': 'Warsaw, Poland'}",https://bolt.eu/en/careers/positions/6123007002,"We are looking for an  Account Manager  to join Bolt for Business. You’ll be the face of Bolt for Business, working closely with key businesses, to meet their needs and understand how we can grow their business with us. B4B has big targets, the product is evolving, getting better and better and our ambitions are high - aiming for 10X growth in the next 12 months. To achieve that, we’re looking for focused, hungry people, brimming with ambition and talent - just waiting for the opportunity to show us what they can do. In this role you’ll get plenty of exposure to big business, you’ll be integral to the smooth running of the relationship, meeting the needs of our clients.   Managing a portfolio of key clients, proactively contacting them and helping themReplying to client queries, replying to emails, calls and solving their challengesCreating account plans to grow volumes from existing clientsPreparing and managing the flow of accounting documents and materialsAssisting the sales team with onboarding and client managementCommunicating with an international team to solve local issuesDelivering volume growth each month   At least 2-4+ years of successful previous experience in account managementA self starter, keen, ambitious and hungry to get resultsProactive, organised and obsessed with detailsSuperb written and spoken communication skills in English Comfortable and experienced speaking with clients, dealing with issues and generating positive outcomesStrong business sense and industry expertiseDemonstrable experience of upselling and generating volume growth from existing clients   #LI-Hybrid"
9,5817483002,Account Manager,Bolt Food,"{'city': 'Warsaw, Poland'}",https://bolt.eu/en/careers/positions/5817483002,"  Bolt Food is looking for a passionate Account Manager to drive our business, developing, managing and growing our partner restaurants in Poland. As an Account Manager you will have a clear understanding of our key business goals and actively manage our partners to generate long-term value for our partners and the platform. In addition you also have to be a strong team player and willing to do things outside of the day-to-day work activities - driving local execution of our global projects or being the Country Manager’s right hand in managing our business priorities.   Your daily adventures will include :    Manage, organize and negotiate eater-facing campaigns that will increase Bolt Food orders and revenue Analyze key performance metrics to gain insights and improve customer performance Forecast growth and evaluate the achievement of our business goals Execute and refine our operational strategy, solve daily commercial and operational issues Collaborate with the Sales & Partners Operations team to smoothly activate all restaurants Lead re-negotiation of restaurant contract conditions such as commission rates and campaign plans Work with cross functional departments to drive business growth (Campaigns, Partner Operations, Customer Service, Courier Operations)    What we are looking for :      3-5 years of experience, preferably in Account Management, Consulting, Business Development, or similar roles.  Solid analytical skills: ability to interpret and present data to generate insights and support decision-making Never-settle mentality: proven track record of client success and consistently achieving critical metrics and revenue targets Commercial vein: ability to build and maintain long term professional relationships with business partners using listening, negotiation and persuasion skills Ownership: ability proactively find solutions to business problems Passion: drive to work with new technologies or with food tech Excellent communicator: ability to effectively communicate with many stakeholders involved Outstanding project manager: capable managing multiple projects, resources, priorities and time Minimum language requirements: Polish and Native or Business level English speaker     #LI-Hybrid"
